HG-IV	Fevi	F4	EGC	date
1.090007	1.090007	1.699847	NA	2019-07-04
0.400361	0.400361	1.307599	NA	2019-07-12
0.425365	0.425365	1.213382	2.072602	2019-07-20
0.420331	0.420331	1.141428	NA	2019-07-28
0.348433	0.348433	0.719698	NA	2019-08-05
0.89557	0.89557	1.186459	NA	2019-08-13
0.877695	0.877695	1.701279	NA	2019-08-21
NA	NA	NA	NA	2019-08-29
NA	NA	NA	NA	2019-09-06
NA	NA	NA	NA	2019-09-14
NA	NA	NA	NA	2019-09-22
NA	NA	NA	NA	2019-09-30
NA	NA	NA	NA	2019-10-08
NA	NA	NA	NA	2019-10-16
NA	NA	NA	NA	2019-10-24
NA	NA	NA	NA	2019-11-01
NA	NA	NA	NA	2019-11-09
NA	NA	NA	NA	2019-11-17
NA	NA	NA	NA	2019-11-25
NA	NA	NA	NA	2019-12-03
NA	NA	NA	NA	2019-12-11
NA	NA	NA	NA	2019-12-19
NA	NA	NA	NA	2019-12-27
NA	NA	NA	NA	2020-01-01
NA	NA	NA	NA	2020-01-09
NA	NA	NA	NA	2020-01-17
NA	NA	NA	NA	2020-01-25
NA	NA	NA	NA	2020-02-02
NA	NA	NA	NA	2020-02-10
NA	NA	NA	NA	2020-02-18
NA	NA	NA	NA	2020-02-26
NA	NA	NA	NA	2020-03-05
NA	NA	NA	NA	2020-03-13
NA	NA	NA	NA	2020-03-21
NA	NA	NA	NA	2020-03-29
NA	NA	NA	NA	2020-04-06
0.330043	0.330043	0.327944	NA	2020-04-14
0.358934	0.358934	0.515203	NA	2020-04-22
2.016301	2.016301	0.836368	NA	2020-04-30
2.263013	2.263013	0.757891	NA	2020-05-08
3.625419	3.625419	0.799964	NA	2020-05-16
NA	NA	0.72785	NA	2020-05-24
1.850722	1.850722	0.91496	NA	2020-06-01
2.673331	2.673331	0.822745	0.096666	2020-06-09
1.155191	1.155191	1.006974	NA	2020-06-17
1.054578	1.054578	1.142339	NA	2020-06-25
1.050022	1.050022	2.144775	NA	2020-07-03
2.264723	2.264723	3.330119	NA	2020-07-11
0.822838	0.822838	0.86351	0.180481	2020-07-19
0.676079	0.676079	0.821148	NA	2020-07-27
0.425214	0.425214	1.246705	0.686184	2020-08-04
0.735078	0.735078	0.705969	NA	2020-08-12
0.64394	0.64394	0.694545	0.379294	2020-08-20
NA	NA	NA	NA	2020-08-28
NA	NA	NA	NA	2020-09-05
