date	HG-IV	Fevi	F4	EGC
2016-08-09	96.049397	96.049397	91.524883	8.510357
2016-08-10	99.856378	99.856378	91.524883	14.704675
2016-08-11	99.209128	99.209128	86.10611	14.772093
2016-08-12	94.438234	94.438234	82.984759	10.355592
2016-08-13	99.209128	99.209128	76.009574	20.910163
2016-08-14	105.698667	105.698667	76.009574	27.465226
2016-08-15	92.997242	92.997242	84.205534	23.259348
2016-08-16	89.648414	89.648414	75.417142	14.704675
2016-08-17	74.403482	74.403482	84.205534	12.507608
2016-08-18	66.969874	66.969874	81.371307	7.399599
2016-08-19	66.969874	66.969874	88.696042	2.327171
2016-08-20	60.8889	60.8889	84.518302	10.355592
2016-08-21	66.969874	66.969874	79.815974	19.072334
2016-08-22	60.562017	60.562017	80.986445	27.465226
2016-08-23	66.969874	66.969874	86.10611	33.686451
2016-08-24	60.8889	60.8889	76.009574	21.988975
2016-08-25	54.167259	54.167259	77.377487	6.539195
2016-08-26	54.167259	54.167259	84.205534	14.704675
2016-08-27	60.562017	60.562017	71.206672	10.68472
2016-08-28	41.415776	41.415776	74.699121	-6.689921
2016-08-29	45.292277	45.292277	76.009574	-17.111008
2016-08-30	49.317193	49.317193	91.524883	-15.68695
2016-08-31	54.167259	54.167259	76.009574	-7.186796
2016-09-01	41.826583	41.826583	86.10611	-17.111008
2016-09-02	41.826583	41.826583	80.986445	-17.111008
2016-09-03	35.059135	35.059135	75.891826	-15.68695
2016-09-04	41.415776	41.415776	83.395361	-20.047416
2016-09-05	35.701492	35.701492	80.056208	-12.694357
2016-09-06	29.512435	29.512435	74.352925	-18.902869
2016-09-07	35.059135	35.059135	75.154497	-6.689921
2016-09-08	35.059135	35.059135	75.154497	-2.327171
2016-09-09	28.714563	28.714563	74.352925	-2.327171
2016-09-10	28.714563	28.714563	69.071476	-6.689921
2016-09-11	17.003417	17.003417	68.792576	-2.327171
2016-09-12	9.762336	9.762336	62.301157	3.845592
2016-09-13	-6.266967	-6.266967	49.354364	-10.008535
2016-09-14	3.508839	3.508839	54.586742	-3.845592
2016-09-15	-7.79998	-7.79998	44.79352	8.510357
2016-09-16	-7.563863	-7.563863	44.489598	-2.327171
2016-09-17	-9.159069	-9.159069	40.494588	10.355592
2016-09-18	-6.266967	-6.266967	42.911335	2.327171
2016-09-19	-10.711737	-10.711737	37.174148	10.355592
2016-09-20	3.508839	3.508839	57.173245	18.892631
2016-09-21	20.560712	20.560712	63.070448	21.614212
2016-09-22	22.382113	22.382113	63.070448	18.840159
2016-09-23	16.063782	16.063782	51.854116	-2.327171
2016-09-24	19.966001	19.966001	59.409705	-3.845592
2016-09-25	22.382113	22.382113	68.792576	-7.399599
2016-09-26	19.966001	19.966001	69.071476	-10.008535
2016-09-27	23.414851	23.414851	68.792576	-3.845592
2016-09-28	22.382113	22.382113	69.071476	-11.595707
2016-09-29	35.528445	35.528445	75.417142	-15.68695
2016-09-30	59.547295	59.547295	75.417142	-7.399599
2016-10-01	87.138132	87.138132	78.070265	-17.111008
2016-10-02	95.425724	95.425724	67.346022	-15.68695
2016-10-03	85.358459	85.358459	84.205534	-11.951009
2016-10-04	68.049852	68.049852	80.986445	-28.434122
2016-10-05	63.366552	63.366552	79.924957	-28.434122
2016-10-06	51.589748	51.589748	75.417142	-28.888549
2016-10-07	48.154775	48.154775	92.982138	-37.43458
2016-10-08	23.076943	23.076943	76.086737	-28.888549
2016-10-09	16.475805	16.475805	54.586742	-46.935825
2016-10-10	41.947277	41.947277	83.395361	-27.126395
2016-10-11	35.059135	35.059135	77.454442	-52.863763
2016-10-12	23.076943	23.076943	74.352925	-25.037491
2016-10-13	24.210991	24.210991	77.591936	-26.509848
2016-10-14	23.076943	23.076943	65.704923	-41.46459
2016-10-15	16.063782	16.063782	65.704923	-20.866217
2016-10-16	9.762336	9.762336	60.777377	-25.15401
2016-10-17	6.550109	6.550109	62.445009	-36.305638
2016-10-18	28.714563	28.714563	71.49575	-46.233351
2016-10-19	28.714563	28.714563	74.352925	-40.913764
2016-10-20	22.382113	22.382113	72.272008	-42.915985
2016-10-21	23.076943	23.076943	69.071476	-44.137193
2016-10-22	31.101509	31.101509	77.39976	-32.861575
2016-10-23	29.270734	29.270734	80.056208	-32.861575
2016-10-24	28.714563	28.714563	71.49575	-28.58563
2016-10-25	23.076943	23.076943	75.417142	-24.264837
2016-10-26	28.714563	28.714563	72.420457	-20.047416
2016-10-27	41.415776	41.415776	76.009574	-15.68695
2016-10-28	41.947277	41.947277	80.986445	-10.008535
2016-10-29	49.317193	49.317193	97.965615	-10.008535
2016-10-30	45.292277	45.292277	80.986445	10.355592
2016-10-31	43.146923	43.146923	86.126132	12.507608
2016-11-01	41.415776	41.415776	80.986445	-2.327171
2016-11-02	35.701492	35.701492	72.420457	-2.327171
2016-11-03	39.527941	39.527941	63.895143	-11.595707
2016-11-04	41.995562	41.995562	69.237969	-3.845592
2016-11-05	29.175937	29.175937	81.304284	-3.845592
2016-11-06	3.508839	3.508839	57.75744	-24.264837
2016-11-07	11.984084	11.984084	57.173245	-31.220938
2016-11-08	22.382113	22.382113	54.84115	-7.186796
2016-11-09	17.491371	17.491371	59.409705	-31.220938
2016-11-10	31.101509	31.101509	71.035542	-7.186796
2016-11-11	35.059135	35.059135	71.035542	-3.845592
2016-11-12	41.415776	41.415776	77.454442	-2.327171
2016-11-13	28.714563	28.714563	77.454442	-2.327171
2016-11-14	28.714563	28.714563	72.420457	-12.694357
2016-11-15	43.146923	43.146923	75.417142	-2.327171
2016-11-16	34.545422	34.545422	75.417142	7.399599
2016-11-17	24.210991	24.210991	76.009574	2.327171
2016-11-18	43.146923	43.146923	80.986445	-3.845592
2016-11-19	56.872331	56.872331	75.417142	-7.399599
2016-11-20	55.506477	55.506477	75.417142	-20.707672
2016-11-21	64.42019	64.42019	80.986445	-20.047416
2016-11-22	73.85892	73.85892	80.986445	-16.160175
2016-11-23	82.388024	82.388024	80.986445	-11.595707
2016-11-24	76.665074	76.665074	76.009574	-10.008535
2016-11-25	85.783568	85.783568	79.924957	-3.845592
2016-11-26	76.665074	76.665074	75.417142	-2.327171
2016-11-27	65.66112	65.66112	80.986445	-3.845592
2016-11-28	77.564248	77.564248	75.417142	-3.845592
2016-11-29	88.223956	88.223956	75.417142	-10.008535
2016-11-30	113.88105	113.88105	80.986445	-7.186796
2016-12-01	102.897627	102.897627	80.986445	-16.160175
2016-12-02	88.649724	88.649724	80.986445	-17.510752
2016-12-03	59.547295	59.547295	76.009574	-25.030896
