study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43504	SAMEA8401699	ERX5313735	ERR5533328	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533328/ERR5533328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533328/ERR5533328_2.fastq.gz	RAS_F4_07_1617_2
PRJEB43504	SAMEA8401700	ERX5313736	ERR5533329	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533329/ERR5533329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533329/ERR5533329_2.fastq.gz	RAS_F4_07_1617_1
PRJEB43504	SAMEA8401702	ERX5313737	ERR5533330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533330/ERR5533330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533330/ERR5533330_2.fastq.gz	RAS_F4_06_1617_2
PRJEB43504	SAMEA8401704	ERX5313738	ERR5533331	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533331/ERR5533331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533331/ERR5533331_2.fastq.gz	RAS_F4_06_1617_1
PRJEB43504	SAMEA8401706	ERX5313739	ERR5533332	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533332/ERR5533332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533332/ERR5533332_2.fastq.gz	RAS_F4_05_1617_2
PRJEB43504	SAMEA8401708	ERX5313740	ERR5533333	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533333/ERR5533333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533333/ERR5533333_2.fastq.gz	RAS_F4_05_1617_1
PRJEB43504	SAMEA8401710	ERX5313741	ERR5533334	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533334/ERR5533334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533334/ERR5533334_2.fastq.gz	RAS_F4_04_1617_2
PRJEB43504	SAMEA8401712	ERX5313742	ERR5533335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533335/ERR5533335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533335/ERR5533335_2.fastq.gz	RAS_F4_04_1617_1
PRJEB43504	SAMEA8401715	ERX5313743	ERR5533336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533336/ERR5533336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533336/ERR5533336_2.fastq.gz	RAS_F4_03_1617_4
PRJEB43504	SAMEA8401717	ERX5313744	ERR5533337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533337/ERR5533337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533337/ERR5533337_2.fastq.gz	RAS_F4_03_1617_3
PRJEB43504	SAMEA8401718	ERX5313745	ERR5533338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533338/ERR5533338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533338/ERR5533338_2.fastq.gz	RAS_F4_03_1617_2
PRJEB43504	SAMEA8401720	ERX5313746	ERR5533339	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533339/ERR5533339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533339/ERR5533339_2.fastq.gz	RAS_F4_03_1617_1
PRJEB43504	SAMEA8401722	ERX5313747	ERR5533340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533340/ERR5533340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533340/ERR5533340_2.fastq.gz	RAS_F4_02_1617_2
PRJEB43504	SAMEA8401726	ERX5313748	ERR5533341	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533341/ERR5533341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533341/ERR5533341_2.fastq.gz	RAS_F4_02_1617_1
PRJEB43504	SAMEA8401728	ERX5313749	ERR5533342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533342/ERR5533342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533342/ERR5533342_2.fastq.gz	RAS_F4_01_1617
PRJEB43504	SAMEA8401729	ERX5313750	ERR5533343	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533343/ERR5533343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533343/ERR5533343_2.fastq.gz	RAS_F4_12_1617
PRJEB43504	SAMEA8401734	ERX5313751	ERR5533344	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533344/ERR5533344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533344/ERR5533344_2.fastq.gz	RAS_F4_11_1617
PRJEB43504	SAMEA8401737	ERX5313752	ERR5533345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533345/ERR5533345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533345/ERR5533345_2.fastq.gz	RAS_F4_10_1617
PRJEB43504	SAMEA8401740	ERX5313753	ERR5533346	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533346/ERR5533346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533346/ERR5533346_2.fastq.gz	RAS_F4_09_1617_2
PRJEB43504	SAMEA8401743	ERX5313754	ERR5533347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533347/ERR5533347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533347/ERR5533347_2.fastq.gz	RAS_F4_09_1617_1
PRJEB43504	SAMEA8401746	ERX5313755	ERR5533348	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533348/ERR5533348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533348/ERR5533348_2.fastq.gz	RAS_F4_08_1617_2
PRJEB43504	SAMEA8401751	ERX5313756	ERR5533349	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533349/ERR5533349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533349/ERR5533349_2.fastq.gz	RAS_F4_08_1617_1
PRJEB43504	SAMEA8401754	ERX5313757	ERR5533350	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533350/ERR5533350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533350/ERR5533350_2.fastq.gz	RAS_EGC_07_1617_3
PRJEB43504	SAMEA8401757	ERX5313758	ERR5533351	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533351/ERR5533351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533351/ERR5533351_2.fastq.gz	RAS_EGC_06_1617_2
PRJEB43504	SAMEA8401761	ERX5313759	ERR5533352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533352/ERR5533352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533352/ERR5533352_2.fastq.gz	RAS_EGC_06_1617_1
PRJEB43504	SAMEA8401765	ERX5313760	ERR5533353	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533353/ERR5533353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533353/ERR5533353_2.fastq.gz	RAS_EGC_05_1617_2
PRJEB43504	SAMEA8401768	ERX5313761	ERR5533354	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533354/ERR5533354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533354/ERR5533354_2.fastq.gz	RAS_EGC_05_1617_1
PRJEB43504	SAMEA8401771	ERX5313762	ERR5533355	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533355/ERR5533355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533355/ERR5533355_2.fastq.gz	RAS_EGC_04_1617_2
PRJEB43504	SAMEA8401773	ERX5313763	ERR5533356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533356/ERR5533356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533356/ERR5533356_2.fastq.gz	RAS_EGC_04_1617_1
PRJEB43504	SAMEA8401776	ERX5313764	ERR5533357	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533357/ERR5533357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533357/ERR5533357_2.fastq.gz	RAS_EGC_03_1617_2
PRJEB43504	SAMEA8401779	ERX5313765	ERR5533358	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533358/ERR5533358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533358/ERR5533358_2.fastq.gz	RAS_EGC_03_1617_1
PRJEB43504	SAMEA8401782	ERX5313766	ERR5533359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533359/ERR5533359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533359/ERR5533359_2.fastq.gz	RAS_EGC_02_1617_2
PRJEB43504	SAMEA8401784	ERX5313767	ERR5533360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533360/ERR5533360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533360/ERR5533360_2.fastq.gz	RAS_EGC_02_1617_1
PRJEB43504	SAMEA8401787	ERX5313768	ERR5533361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533361/ERR5533361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533361/ERR5533361_2.fastq.gz	RAS_EGC_01_1617_2
PRJEB43504	SAMEA8401789	ERX5313769	ERR5533362	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533362/ERR5533362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533362/ERR5533362_2.fastq.gz	RAS_EGC_01_1617_1
PRJEB43504	SAMEA8401793	ERX5313770	ERR5533363	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533363/ERR5533363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533363/ERR5533363_2.fastq.gz	RAS_EGC_12_1617_2
PRJEB43504	SAMEA8401795	ERX5313771	ERR5533364	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533364/ERR5533364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533364/ERR5533364_2.fastq.gz	RAS_EGC_12_1617_1
PRJEB43504	SAMEA8401798	ERX5313772	ERR5533365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533365/ERR5533365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533365/ERR5533365_2.fastq.gz	RAS_EGC_11_1617
PRJEB43504	SAMEA8401800	ERX5313773	ERR5533366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533366/ERR5533366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533366/ERR5533366_2.fastq.gz	RAS_EGC_10_1617_2
PRJEB43504	SAMEA8401802	ERX5313774	ERR5533367	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533367/ERR5533367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533367/ERR5533367_2.fastq.gz	RAS_EGC_10_1617_1
PRJEB43504	SAMEA8401804	ERX5313775	ERR5533368	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533368/ERR5533368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533368/ERR5533368_2.fastq.gz	RAS_EGC_09_1617_2
PRJEB43504	SAMEA8401806	ERX5313776	ERR5533369	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533369/ERR5533369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533369/ERR5533369_2.fastq.gz	RAS_EGC_09_1617_1
PRJEB43504	SAMEA8401808	ERX5313777	ERR5533370	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533370/ERR5533370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533370/ERR5533370_2.fastq.gz	RAS_EGC_08_1617_2
PRJEB43504	SAMEA8401810	ERX5313778	ERR5533371	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533371/ERR5533371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533371/ERR5533371_2.fastq.gz	RAS_EGC_08_1617_1
PRJEB43504	SAMEA8401812	ERX5313779	ERR5533372	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533372/ERR5533372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533372/ERR5533372_2.fastq.gz	RAS_EGC_07_1617_2
PRJEB43504	SAMEA8401814	ERX5313780	ERR5533373	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533373/ERR5533373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533373/ERR5533373_2.fastq.gz	RAS_EGC_07_1617_1
