study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43885	SAMEA8401799	ERX5313663	ERR5533254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533254/ERR5533254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533254/ERR5533254_2.fastq.gz	RAS_EGC_08_1718_1
PRJEB43885	SAMEA8401549	ERX5313678	ERR5533270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533270/ERR5533270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533270/ERR5533270_2.fastq.gz	RAS_HG_07_1718
PRJEB43885	SAMEA8401551	ERX5313679	ERR5533271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533271/ERR5533271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533271/ERR5533271_2.fastq.gz	RAS_HG_06_1718_3
PRJEB43885	SAMEA8401554	ERX5313680	ERR5533272	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533272/ERR5533272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533272/ERR5533272_2.fastq.gz	RAS_HG_06_1718_2
PRJEB43885	SAMEA8401556	ERX5313681	ERR5533273	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533273/ERR5533273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533273/ERR5533273_2.fastq.gz	RAS_HG_06_1718_1
PRJEB43885	SAMEA8401559	ERX5313682	ERR5533274	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533274/ERR5533274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533274/ERR5533274_2.fastq.gz	RAS_HG_05_1718_2
PRJEB43885	SAMEA8401563	ERX5313683	ERR5533275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533275/ERR5533275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533275/ERR5533275_2.fastq.gz	RAS_HG_05_1718_1
PRJEB43885	SAMEA8401566	ERX5313684	ERR5533276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533276/ERR5533276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533276/ERR5533276_2.fastq.gz	RAS_HG_04_1718_4
PRJEB43885	SAMEA8401569	ERX5313583	ERR5533277	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533277/ERR5533277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533277/ERR5533277_2.fastq.gz	RAS_HG_04_1718_3
PRJEB43504	SAMEA8401560	ERX5313685	ERR5533278	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533278/ERR5533278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533278/ERR5533278_2.fastq.gz	RAS_HG_07_1617_4
