study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title	
PRJEB43890	SAMEA8401647	ERX5313821	ERR5533413	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533413/ERR5533413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533413/ERR5533413_2.fastq.gz	RAS_Fevi_05_1617_1	
PRJEB43890	SAMEA8401647	ERX5313822	ERR5533414	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533414/ERR5533414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533414/ERR5533414_2.fastq.gz	RAS_Fevi_05_1617_1	
PRJEB43890	SAMEA8401650	ERX5313823	ERR5533415	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533415/ERR5533415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533415/ERR5533415_2.fastq.gz	RAS_Fevi_04_1617	
PRJEB43890	SAMEA8401650	ERX5313824	ERR5533416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533416/ERR5533416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533416/ERR5533416_2.fastq.gz	RAS_Fevi_04_1617	
PRJEB43890	SAMEA8401653	ERX5313825	ERR5533417	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533417/ERR5533417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533417/ERR5533417_2.fastq.gz	RAS_Fevi_03_1617_4	
PRJEB43890	SAMEA8401653	ERX5313826	ERR5533418	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533418/ERR5533418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533418/ERR5533418_2.fastq.gz	RAS_Fevi_03_1617_4	
PRJEB43890	SAMEA8401657	ERX5313827	ERR5533419	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533419/ERR5533419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533419/ERR5533419_2.fastq.gz	RAS_Fevi_03_1617_3	
PRJEB43890	SAMEA8401657	ERX5313828	ERR5533420	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533420/ERR5533420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533420/ERR5533420_2.fastq.gz	RAS_Fevi_03_1617_3	
PRJEB43890	SAMEA8401660	ERX5313829	ERR5533421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533421/ERR5533421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533421/ERR5533421_2.fastq.gz	RAS_Fevi_03_1617_2	
PRJEB43890	SAMEA8401660	ERX5313830	ERR5533422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533422/ERR5533422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533422/ERR5533422_2.fastq.gz	RAS_Fevi_03_1617_2	
PRJEB43890	SAMEA8401663	ERX5313831	ERR5533423	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533423/ERR5533423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533423/ERR5533423_2.fastq.gz	RAS_Fevi_03_1617_1	
PRJEB43890	SAMEA8401663	ERX5313832	ERR5533424	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533424/ERR5533424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533424/ERR5533424_2.fastq.gz	RAS_Fevi_03_1617_1	
PRJEB43890	SAMEA8401666	ERX5313833	ERR5533425	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533425/ERR5533425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533425/ERR5533425_2.fastq.gz	RAS_Fevi_02_1617_2	
PRJEB43890	SAMEA8401666	ERX5313834	ERR5533426	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533426/ERR5533426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533426/ERR5533426_2.fastq.gz	RAS_Fevi_02_1617_2	
PRJEB43890	SAMEA8401669	ERX5313835	ERR5533427	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533427/ERR5533427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533427/ERR5533427_2.fastq.gz	RAS_Fevi_02_1617_1	
PRJEB43890	SAMEA8401669	ERX5313836	ERR5533428	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533428/ERR5533428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533428/ERR5533428_2.fastq.gz	RAS_Fevi_02_1617_1	
PRJEB43890	SAMEA8401672	ERX5313837	ERR5533429	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533429/ERR5533429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533429/ERR5533429_2.fastq.gz	RAS_Fevi_01_1617	
PRJEB43890	SAMEA8401672	ERX5313838	ERR5533430	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533430/ERR5533430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533430/ERR5533430_2.fastq.gz	RAS_Fevi_01_1617	
PRJEB43890	SAMEA8401677	ERX5313839	ERR5533431	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533431/ERR5533431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533431/ERR5533431_2.fastq.gz	RAS_Fevi_12_1617	
PRJEB43890	SAMEA8401677	ERX5313840	ERR5533432	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533432/ERR5533432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533432/ERR5533432_2.fastq.gz	RAS_Fevi_12_1617	
PRJEB43890	SAMEA8401680	ERX5313841	ERR5533433	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533433/ERR5533433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533433/ERR5533433_2.fastq.gz	RAS_Fevi_11_1617	
PRJEB43890	SAMEA8401680	ERX5313842	ERR5533434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533434/ERR5533434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533434/ERR5533434_2.fastq.gz	RAS_Fevi_11_1617	
PRJEB43890	SAMEA8401683	ERX5313843	ERR5533435	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533435/ERR5533435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533435/ERR5533435_2.fastq.gz	RAS_Fevi_10_1617	
PRJEB43890	SAMEA8401683	ERX5313844	ERR5533436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533436/ERR5533436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533436/ERR5533436_2.fastq.gz	RAS_Fevi_10_1617	
PRJEB43890	SAMEA8401686	ERX5313845	ERR5533437	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533437/ERR5533437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533437/ERR5533437_2.fastq.gz	RAS_Fevi_09_1617_2	
PRJEB43890	SAMEA8401686	ERX5313846	ERR5533438	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533438/ERR5533438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533438/ERR5533438_2.fastq.gz	RAS_Fevi_09_1617_2	
PRJEB43890	SAMEA8401687	ERX5313847	ERR5533439	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533439/ERR5533439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533439/ERR5533439_2.fastq.gz	RAS_Fevi_09_1617_1	
PRJEB43890	SAMEA8401687	ERX5313848	ERR5533440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533440/ERR5533440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533440/ERR5533440_2.fastq.gz	RAS_Fevi_09_1617_1	
PRJEB43890	SAMEA8401691	ERX5313849	ERR5533441	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533441/ERR5533441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533441/ERR5533441_2.fastq.gz	RAS_Fevi_08_1617_2	
PRJEB43890	SAMEA8401691	ERX5313850	ERR5533442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533442/ERR5533442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533442/ERR5533442_2.fastq.gz	RAS_Fevi_08_1617_2	
PRJEB43890	SAMEA8401693	ERX5313851	ERR5533443	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533443/ERR5533443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533443/ERR5533443_2.fastq.gz	RAS_Fevi_08_1617_1	
PRJEB43890	SAMEA8401693	ERX5313852	ERR5533444	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533444/ERR5533444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533444/ERR5533444_2.fastq.gz	RAS_Fevi_08_1617_1	
PRJEB43890	SAMEA8401697	ERX5313853	ERR5533445	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533445/ERR5533445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533445/ERR5533445_2.fastq.gz	RAS_F4_07_1617_3	
PRJEB43890	SAMEA8401697	ERX5313854	ERR5533446	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533446/ERR5533446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533446/ERR5533446_2.fastq.gz	RAS_F4_07_1617_3	
PRJEB43890	SAMEA8401699	ERX5313855	ERR5533447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533447/ERR5533447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533447/ERR5533447_2.fastq.gz	RAS_F4_07_1617_2	
PRJEB43890	SAMEA8401699	ERX5313856	ERR5533448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533448/ERR5533448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533448/ERR5533448_2.fastq.gz	RAS_F4_07_1617_2	
PRJEB43890	SAMEA8401700	ERX5313857	ERR5533449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533449/ERR5533449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533449/ERR5533449_2.fastq.gz	RAS_F4_07_1617_1	
PRJEB43890	SAMEA8401700	ERX5313858	ERR5533450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533450/ERR5533450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533450/ERR5533450_2.fastq.gz	RAS_F4_07_1617_1	
PRJEB43890	SAMEA8401702	ERX5313859	ERR5533451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533451/ERR5533451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533451/ERR5533451_2.fastq.gz	RAS_F4_06_1617_2	
PRJEB43890	SAMEA8401702	ERX5313860	ERR5533452	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533452/ERR5533452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533452/ERR5533452_2.fastq.gz	RAS_F4_06_1617_2	
PRJEB43890	SAMEA8401704	ERX5313861	ERR5533453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533453/ERR5533453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533453/ERR5533453_2.fastq.gz	RAS_F4_06_1617_1	
PRJEB43890	SAMEA8401704	ERX5313862	ERR5533454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533454/ERR5533454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533454/ERR5533454_2.fastq.gz	RAS_F4_06_1617_1	
PRJEB43890	SAMEA8401706	ERX5313863	ERR5533455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533455/ERR5533455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533455/ERR5533455_2.fastq.gz	RAS_F4_05_1617_2	
PRJEB43890	SAMEA8401706	ERX5313864	ERR5533456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533456/ERR5533456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533456/ERR5533456_2.fastq.gz	RAS_F4_05_1617_2	
PRJEB43890	SAMEA8401708	ERX5313865	ERR5533457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533457/ERR5533457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533457/ERR5533457_2.fastq.gz	RAS_F4_05_1617_1	
PRJEB43890	SAMEA8401708	ERX5313866	ERR5533458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533458/ERR5533458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533458/ERR5533458_2.fastq.gz	RAS_F4_05_1617_1	
PRJEB43890	SAMEA8401710	ERX5313867	ERR5533459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533459/ERR5533459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533459/ERR5533459_2.fastq.gz	RAS_F4_04_1617_2	
PRJEB43890	SAMEA8401710	ERX5313868	ERR5533460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533460/ERR5533460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533460/ERR5533460_2.fastq.gz	RAS_F4_04_1617_2	
PRJEB43890	SAMEA8401712	ERX5313869	ERR5533461	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533461/ERR5533461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533461/ERR5533461_2.fastq.gz	RAS_F4_04_1617_1	
PRJEB43890	SAMEA8401712	ERX5313870	ERR5533462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533462/ERR5533462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533462/ERR5533462_2.fastq.gz	RAS_F4_04_1617_1	
PRJEB43890	SAMEA8401715	ERX5313871	ERR5533463	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533463/ERR5533463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533463/ERR5533463_2.fastq.gz	RAS_F4_03_1617_4	
PRJEB43890	SAMEA8401715	ERX5313872	ERR5533464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533464/ERR5533464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533464/ERR5533464_2.fastq.gz	RAS_F4_03_1617_4	
PRJEB43890	SAMEA8401717	ERX5313873	ERR5533465	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533465/ERR5533465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533465/ERR5533465_2.fastq.gz	RAS_F4_03_1617_3	
PRJEB43890	SAMEA8401717	ERX5313874	ERR5533466	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533466/ERR5533466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533466/ERR5533466_2.fastq.gz	RAS_F4_03_1617_3	
PRJEB43890	SAMEA8401718	ERX5313875	ERR5533467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533467/ERR5533467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533467/ERR5533467_2.fastq.gz	RAS_F4_03_1617_2	
PRJEB43890	SAMEA8401718	ERX5313876	ERR5533468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533468/ERR5533468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533468/ERR5533468_2.fastq.gz	RAS_F4_03_1617_2	
PRJEB43890	SAMEA8401720	ERX5313877	ERR5533469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533469/ERR5533469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533469/ERR5533469_2.fastq.gz	RAS_F4_03_1617_1	
PRJEB43890	SAMEA8401720	ERX5313878	ERR5533470	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533470/ERR5533470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533470/ERR5533470_2.fastq.gz	RAS_F4_03_1617_1	
PRJEB43890	SAMEA8401722	ERX5313879	ERR5533471	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533471/ERR5533471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533471/ERR5533471_2.fastq.gz	RAS_F4_02_1617_2	
PRJEB43890	SAMEA8401722	ERX5313880	ERR5533472	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533472/ERR5533472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533472/ERR5533472_2.fastq.gz	RAS_F4_02_1617_2	
PRJEB43890	SAMEA8401726	ERX5313881	ERR5533473	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533473/ERR5533473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533473/ERR5533473_2.fastq.gz	RAS_F4_02_1617_1	
PRJEB43890	SAMEA8401726	ERX5313882	ERR5533474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533474/ERR5533474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533474/ERR5533474_2.fastq.gz	RAS_F4_02_1617_1	
PRJEB43890	SAMEA8401728	ERX5313883	ERR5533475	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533475/ERR5533475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533475/ERR5533475_2.fastq.gz	RAS_F4_01_1617	
PRJEB43890	SAMEA8401728	ERX5313884	ERR5533476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533476/ERR5533476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533476/ERR5533476_2.fastq.gz	RAS_F4_01_1617	
PRJEB43890	SAMEA8401729	ERX5313885	ERR5533477	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533477/ERR5533477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533477/ERR5533477_2.fastq.gz	RAS_F4_12_1617	
PRJEB43890	SAMEA8401734	ERX5313886	ERR5533478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533478/ERR5533478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533478/ERR5533478_2.fastq.gz	RAS_F4_11_1617	
PRJEB43890	SAMEA8401734	ERX5313887	ERR5533479	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533479/ERR5533479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533479/ERR5533479_2.fastq.gz	RAS_F4_11_1617	
PRJEB43890	SAMEA8401737	ERX5313888	ERR5533480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533480/ERR5533480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533480/ERR5533480_2.fastq.gz	RAS_F4_10_1617	
PRJEB43890	SAMEA8401737	ERX5313889	ERR5533481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533481/ERR5533481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533481/ERR5533481_2.fastq.gz	RAS_F4_10_1617	
PRJEB43890	SAMEA8401740	ERX5313890	ERR5533482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533482/ERR5533482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533482/ERR5533482_2.fastq.gz	RAS_F4_09_1617_2	
PRJEB43890	SAMEA8401740	ERX5313891	ERR5533483	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533483/ERR5533483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533483/ERR5533483_2.fastq.gz	RAS_F4_09_1617_2	
PRJEB43890	SAMEA8401743	ERX5313892	ERR5533484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533484/ERR5533484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533484/ERR5533484_2.fastq.gz	RAS_F4_09_1617_1	
PRJEB43890	SAMEA8401743	ERX5313893	ERR5533485	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533485/ERR5533485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533485/ERR5533485_2.fastq.gz	RAS_F4_09_1617_1	
PRJEB43890	SAMEA8401746	ERX5313894	ERR5533486	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533486/ERR5533486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533486/ERR5533486_2.fastq.gz	RAS_F4_08_1617_2	
PRJEB43890	SAMEA8401746	ERX5313895	ERR5533487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533487/ERR5533487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533487/ERR5533487_2.fastq.gz	RAS_F4_08_1617_2	
PRJEB43890	SAMEA8401751	ERX5313961	ERR5533488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533488/ERR5533488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533488/ERR5533488_2.fastq.gz	RAS_F4_08_1617_1	
PRJEB43890	SAMEA8401761	ERX5313896	ERR5533489	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533489/ERR5533489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533489/ERR5533489_2.fastq.gz	RAS_EGC_06_1617_1	
PRJEB43890	SAMEA8401765	ERX5313897	ERR5533490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533490/ERR5533490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533490/ERR5533490_2.fastq.gz	RAS_EGC_05_1617_2	
PRJEB43890	SAMEA8401765	ERX5313898	ERR5533491	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533491/ERR5533491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533491/ERR5533491_2.fastq.gz	RAS_EGC_05_1617_2	
PRJEB43890	SAMEA8401768	ERX5313899	ERR5533492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533492/ERR5533492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533492/ERR5533492_2.fastq.gz	RAS_EGC_05_1617_1	
PRJEB43890	SAMEA8401768	ERX5313900	ERR5533493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533493/ERR5533493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533493/ERR5533493_2.fastq.gz	RAS_EGC_05_1617_1	
PRJEB43890	SAMEA8401771	ERX5313923	ERR5533494	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533494/ERR5533494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533494/ERR5533494_2.fastq.gz	RAS_EGC_04_1617_2	
PRJEB43890	SAMEA8401568	ERX5313901	ERR5533495	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533495/ERR5533495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533495/ERR5533495_2.fastq.gz	RAS_HG_07_1617_1	
PRJEB43890	SAMEA8401572	ERX5313902	ERR5533496	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533496/ERR5533496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533496/ERR5533496_2.fastq.gz	RAS_HG_06_1617_2	
PRJEB43890	SAMEA8401572	ERX5313903	ERR5533497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533497/ERR5533497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533497/ERR5533497_2.fastq.gz	RAS_HG_06_1617_2	
PRJEB43890	SAMEA8401573	ERX5313904	ERR5533498	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533498/ERR5533498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533498/ERR5533498_2.fastq.gz	RAS_HG_06_1617_1	
PRJEB43890	SAMEA8401573	ERX5313905	ERR5533499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533499/ERR5533499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533499/ERR5533499_2.fastq.gz	RAS_HG_06_1617_1	
PRJEB43890	SAMEA8401574	ERX5313906	ERR5533500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533500/ERR5533500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533500/ERR5533500_2.fastq.gz	RAS_HG_05_1617_2	
PRJEB43890	SAMEA8401574	ERX5313907	ERR5533501	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533501/ERR5533501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533501/ERR5533501_2.fastq.gz	RAS_HG_05_1617_2	
