study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title	
PRJEB54562	SAMEA110262251	ERX9461867	ERR9919057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/007/ERR9919057/ERR9919057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/007/ERR9919057/ERR9919057_2.fastq.gz	RAS_EGC_01_1819_1	
PRJEB54562	SAMEA110262252	ERX9461868	ERR9919058	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/008/ERR9919058/ERR9919058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/008/ERR9919058/ERR9919058_2.fastq.gz	RAS_EGC_12_1819_2	
PRJEB54562	SAMEA110262253	ERX9461869	ERR9919059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/009/ERR9919059/ERR9919059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/009/ERR9919059/ERR9919059_2.fastq.gz	RAS_EGC_12_1819_1	
PRJEB54562	SAMEA110262254	ERX9461870	ERR9919060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/000/ERR9919060/ERR9919060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/000/ERR9919060/ERR9919060_2.fastq.gz	RAS_EGC_11_1819	
PRJEB54562	SAMEA110262255	ERX9461871	ERR9919061	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/001/ERR9919061/ERR9919061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/001/ERR9919061/ERR9919061_2.fastq.gz	RAS_EGC_10_1819_2	
PRJEB54562	SAMEA110262256	ERX9461872	ERR9919062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/002/ERR9919062/ERR9919062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/002/ERR9919062/ERR9919062_2.fastq.gz	RAS_EGC_10_1819_1	
PRJEB54562	SAMEA110262257	ERX9461873	ERR9919063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/003/ERR9919063/ERR9919063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/003/ERR9919063/ERR9919063_2.fastq.gz	RAS_EGC_09_1819_2	
PRJEB54562	SAMEA110262258	ERX9461874	ERR9919064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/004/ERR9919064/ERR9919064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/004/ERR9919064/ERR9919064_2.fastq.gz	RAS_EGC_09_1819_1	
PRJEB54562	SAMEA110262259	ERX9461875	ERR9919065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/005/ERR9919065/ERR9919065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/005/ERR9919065/ERR9919065_2.fastq.gz	RAS_EGC_08_1819_2	
PRJEB54562	SAMEA110262260	ERX9461876	ERR9919066	ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/006/ERR9919066/ERR9919066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR991/006/ERR9919066/ERR9919066_2.fastq.gz	RAS_EGC_08_1819_1	
PRJEB54586	SAMEA110278106	ERX9465097	ERR9922289	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/009/ERR9922289/ERR9922289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/009/ERR9922289/ERR9922289_2.fastq.gz	RAS_EGC_09_1920_2	
PRJEB54586	SAMEA110278107	ERX9465098	ERR9922290	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/000/ERR9922290/ERR9922290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/000/ERR9922290/ERR9922290_2.fastq.gz	RAS_EGC_08_1920	
PRJEB54586	SAMEA110278108	ERX9465099	ERR9922291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/001/ERR9922291/ERR9922291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/001/ERR9922291/ERR9922291_2.fastq.gz	RAS_EGC_07_1920	
PRJEB54586	SAMEA110278109	ERX9465100	ERR9922292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/002/ERR9922292/ERR9922292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/002/ERR9922292/ERR9922292_2.fastq.gz	RAS_EGC_06_1920	
PRJEB54586	SAMEA110278110	ERX9465101	ERR9922293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/003/ERR9922293/ERR9922293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/003/ERR9922293/ERR9922293_2.fastq.gz	RAS_EGC_05_1920	
PRJEB54586	SAMEA110278111	ERX9465102	ERR9922294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/004/ERR9922294/ERR9922294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/004/ERR9922294/ERR9922294_2.fastq.gz	RAS_EGC_04_1920	
PRJEB54586	SAMEA110278112	ERX9465103	ERR9922295	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/005/ERR9922295/ERR9922295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/005/ERR9922295/ERR9922295_2.fastq.gz	RAS_EGC_03_1920	
PRJEB54586	SAMEA110278113	ERX9465104	ERR9922296	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/006/ERR9922296/ERR9922296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/006/ERR9922296/ERR9922296_2.fastq.gz	RAS_EGC_02_1920	
PRJEB54586	SAMEA110278114	ERX9465105	ERR9922297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/007/ERR9922297/ERR9922297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/007/ERR9922297/ERR9922297_2.fastq.gz	RAS_EGC_01_1920	
PRJEB54586	SAMEA110278115	ERX9465106	ERR9922298	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/008/ERR9922298/ERR9922298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/008/ERR9922298/ERR9922298_2.fastq.gz	RAS_EGC_12_1920	
PRJEB54586	SAMEA110278116	ERX9465107	ERR9922299	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/009/ERR9922299/ERR9922299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/009/ERR9922299/ERR9922299_2.fastq.gz	RAS_EGC_11_1920	
PRJEB54586	SAMEA110278117	ERX9465108	ERR9922300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/000/ERR9922300/ERR9922300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/000/ERR9922300/ERR9922300_2.fastq.gz	RAS_EGC_10_1920	
PRJEB54586	SAMEA110278118	ERX9465109	ERR9922301	ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/001/ERR9922301/ERR9922301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR992/001/ERR9922301/ERR9922301_2.fastq.gz	RAS_EGC_09_1920_1	
